信号日,股票代码,因子值,分组,目标仓位,是否触发,滚动均值,滚动标准差,历史阈值
2024-11-15,300750.SZ,1.662299787756065e-05,0,-0.0,False,-1.8225586512253071e-06,2.2243307177106116e-05,2.042074852588081e-05
2024-11-18,300750.SZ,1.0190294216032924e-05,0,-0.0,False,-1.8132601052886765e-06,2.225084449154407e-05,2.043758438625539e-05
2024-11-19,300750.SZ,6.04656362757848e-06,0,-0.0,False,-1.9634338248794476e-06,2.2106849771764235e-05,2.0143415946884788e-05
2024-11-20,300750.SZ,7.342791643736229e-06,0,-0.0,False,-1.9944709374489826e-06,2.2092846695175182e-05,2.00983757577262e-05
2024-11-21,300750.SZ,-6.942434348602167e-06,0,-0.0,False,-1.8453042852496101e-06,2.2094975489480245e-05,2.0249671204230636e-05
2024-11-22,300750.SZ,1.929858636956369e-06,0,-0.0,False,-1.8428364296092137e-06,2.209438456682092e-05,2.0251548137211706e-05
2024-11-25,300750.SZ,2.0925699035821804e-06,0,-0.0,False,-2.1811304758658323e-06,2.1716902776369763e-05,1.9535772300503932e-05
2024-11-26,300750.SZ,3.460829114508297e-06,0,-0.0,False,-2.463439522381188e-06,2.1435158881224482e-05,1.8971719358843294e-05
2024-11-27,300750.SZ,-7.48870523555101e-06,0,-0.0,False,-2.666108072302834e-06,2.126106175242513e-05,1.8594953680122295e-05
2024-11-28,300750.SZ,-3.447130959064876e-06,0,-0.0,False,-2.704041081858419e-06,2.1265608880109164e-05,1.8561567798250746e-05
2024-11-29,300750.SZ,-6.794395215553935e-06,0,-0.0,False,-2.769242007814722e-06,2.1255707999666058e-05,1.8486465991851337e-05
2024-12-02,300750.SZ,2.2024886679811887e-06,0,-0.0,False,-2.5801567496219145e-06,2.1116525310835744e-05,1.853636856121383e-05
2024-12-03,300750.SZ,-6.677759697510943e-06,0,-0.0,False,-2.7602471845487388e-06,2.098125901978267e-05,1.822101183523393e-05
2024-12-04,300750.SZ,2.3799266239826865e-06,0,-0.0,False,-2.6467700518938016e-06,2.0922367093325177e-05,1.8275597041431373e-05
2024-12-05,300750.SZ,9.923008907190919e-07,0,-0.0,False,-2.6217070521919614e-06,2.0926607107283685e-05,1.8304900055091722e-05
2024-12-06,300750.SZ,-2.4798984819385613e-06,0,-0.0,False,-2.654860788181378e-06,2.091762697600999e-05,1.8262766187828612e-05
2024-12-09,300750.SZ,-7.788741013868106e-06,0,-0.0,False,-2.5722056396005874e-06,2.089838943627822e-05,1.8326183796677632e-05
2024-12-10,300750.SZ,2.094311812855421e-05,1,-1.0,True,-2.559436685599575e-06,2.0894699035021044e-05,1.833526234942147e-05
2024-12-11,300750.SZ,1.0841978267606265e-05,0,-0.0,False,-2.4588762383016643e-06,2.0979064347395674e-05,1.852018810909401e-05
2024-12-12,300750.SZ,-9.928002453968137e-06,0,-0.0,False,-2.51591451094249e-06,2.093308648186329e-05,1.84171719709208e-05
2024-12-13,300750.SZ,7.733914664078761e-06,0,-0.0,False,-2.6995307887309903e-06,2.0900362538943188e-05,1.8200831750212197e-05
2024-12-16,300750.SZ,-1.1311442525804245e-05,0,-0.0,False,-2.5702613211928495e-06,2.0916651269486404e-05,1.8346389948293555e-05
2024-12-17,300750.SZ,-3.215726100155559e-05,0,-0.0,False,-2.725708004559595e-06,2.0911679471789113e-05,1.818597146722952e-05
