信号日,股票代码,因子值,滚动均值,滚动标准差,历史阈值,分组,是否触发,目标仓位
2025-03-28,300750.SZ,-3.9003999999999905,,,,0,False,0.0
2025-03-31,300750.SZ,7.238200000000006,,,,0,False,0.0
2025-04-01,300750.SZ,-7.275700000000029,,,,0,False,0.0
2025-04-02,300750.SZ,0.1500000000000341,,,,0,False,0.0
2025-04-03,300750.SZ,11.363499999999988,,,,0,False,0.0
2025-04-07,300750.SZ,52.24250000000001,,,,0,False,0.0
2025-04-08,300750.SZ,7.181899999999985,,,,0,False,0.0
2025-04-09,300750.SZ,14.363800000000026,,,,0,False,0.0
2025-04-10,300750.SZ,12.357400000000041,,,,0,False,0.0
2025-04-11,300750.SZ,11.288599999999974,,,,0,False,0.0
2025-04-14,300750.SZ,0.0,,,,0,False,0.0
2025-04-15,300750.SZ,-7.782000000000039,,,,0,False,0.0
2025-04-16,300750.SZ,-6.113100000000031,,,,0,False,0.0
2025-04-17,300750.SZ,2.0814000000000306,,,,0,False,0.0
2025-04-18,300750.SZ,-1.0126000000000204,,,,0,False,0.0
2025-04-21,300750.SZ,-11.063600000000008,,,,0,False,0.0
2025-04-22,300750.SZ,7.402099999999962,,,,0,False,0.0
2025-04-23,300750.SZ,-5.087800000000016,,,,0,False,0.0
2025-04-24,300750.SZ,6.7327999999999975,,,,0,False,0.0
2025-04-25,300750.SZ,-0.5165000000000077,,,,0,False,0.0
2025-04-28,300750.SZ,3.3471999999999866,,,,0,False,0.0
2025-04-29,300750.SZ,5.393899999999974,,,,0,False,0.0
2025-04-30,300750.SZ,-1.0137000000000285,,,,0,False,0.0
2025-05-06,300750.SZ,-0.24860000000001037,,,,0,False,0.0
2025-05-07,300750.SZ,-13.350799999999992,,,,0,False,0.0
2025-05-08,300750.SZ,-11.399699999999996,,,,0,False,0.0
2025-05-09,300750.SZ,7.07710000000003,,,,0,False,0.0
2025-05-12,300750.SZ,-16.697900000000004,,,,0,False,0.0
2025-05-13,300750.SZ,3.385499999999979,,,,0,False,0.0
2025-05-14,300750.SZ,-7.3256999999999834,,,,0,False,0.0
2025-05-15,300750.SZ,-4.6288000000000125,,,,0,False,0.0
2025-05-16,300750.SZ,1.568399999999997,,,,0,False,0.0
2025-05-19,300750.SZ,1.2241999999999962,,,,0,False,0.0
2025-05-20,300750.SZ,-5.738100000000031,,,,0,False,0.0
2025-05-21,300750.SZ,-21.192800000000034,,,,0,False,0.0
2025-05-22,300750.SZ,-7.096100000000092,,,,0,False,0.0
2025-05-23,300750.SZ,-6.464999999999975,,,,0,False,0.0
2025-05-26,300750.SZ,21.21199999999999,,,,0,False,0.0
2025-05-27,300750.SZ,-3.65319999999997,,,,0,False,0.0
2025-05-28,300750.SZ,-0.7460000000000377,,,,0,False,0.0
2025-05-29,300750.SZ,3.3471999999999866,,,,0,False,0.0
2025-05-30,300750.SZ,-3.538499999999999,,,,0,False,0.0
2025-06-03,300750.SZ,2.199600000000032,,,,0,False,0.0
2025-06-04,300750.SZ,-0.19130000000001246,,,,0,False,0.0
2025-06-05,300750.SZ,-0.8607000000000085,,,,0,False,0.0
2025-06-06,300750.SZ,5.011300000000006,,,,0,False,0.0
2025-06-09,300750.SZ,6.311900000000037,,,,0,False,0.0
2025-06-10,300750.SZ,-4.666999999999973,,,,0,False,0.0
2025-06-11,300750.SZ,-14.077499999999986,,,,0,False,0.0
2025-06-12,300750.SZ,-1.3197999999999865,,,,0,False,0.0
2025-06-13,300750.SZ,-3.079400000000021,,,,0,False,0.0
2025-06-16,300750.SZ,-2.9455999999999563,,,,0,False,0.0
2025-06-17,300750.SZ,-0.7651000000000181,,,,0,False,0.0
2025-06-18,300750.SZ,1.3197999999999865,,,,0,False,0.0
2025-06-19,300750.SZ,6.637100000000032,,,,0,False,0.0
2025-06-20,300750.SZ,-3.519399999999962,,,,0,False,0.0
2025-06-23,300750.SZ,-1.2432000000000016,,,,0,False,0.0
2025-06-24,300750.SZ,-12.069199999999967,,,,0,False,0.0
2025-06-25,300750.SZ,-17.17610000000002,,,,0,False,0.0
2025-06-26,300750.SZ,-4.035799999999995,,,,0,False,0.0
2025-06-27,300750.SZ,3.4429000000000087,,,,0,False,0.0
2025-06-30,300750.SZ,2.3526999999999703,,,,0,False,0.0
2025-07-01,300750.SZ,-1.3771999999999593,,,,0,False,0.0
2025-07-02,300750.SZ,2.0083000000000197,,,,0,False,0.0
2025-07-03,300750.SZ,-23.22030000000001,-1.823127500000003,9.610972037522748,-11.434099537522751,0,False,0.0
2025-07-04,300750.SZ,6.13979999999998,-2.0256500000000033,9.803360037346827,-11.82901003734683,1,True,1.0
2025-07-07,300750.SZ,-9.391399999999976,-1.8622008333333364,9.774344735195108,-11.636545568528444,1,True,1.0
2025-07-08,300750.SZ,4.628699999999981,-1.9225775000000032,9.798461004534778,-11.72103850453478,1,True,1.0
2025-07-09,300750.SZ,-14.326199999999972,-1.8703191666666696,9.816674075319918,-11.686993241986588,0,False,0.0
2025-07-10,300750.SZ,2.2952999999999975,-2.103232500000003,9.777468308981451,-11.880700808981453,1,True,1.0
2025-07-11,300750.SZ,-0.9563999999999169,-2.020187500000003,9.772107878884942,-11.792295378884944,1,True,1.0
2025-07-14,300750.SZ,-5.738100000000031,-2.0591050000000024,9.758370431771501,-11.817475431771504,1,True,1.0
2025-07-15,300750.SZ,1.4344999999999573,-2.0862391666666693,9.764081508575202,-11.850320675241871,1,True,1.0
2025-07-16,300750.SZ,-6.407600000000059,-2.060133333333336,9.769314196777078,-11.829447530110414,1,True,1.0
2025-07-17,300750.SZ,2.103999999999985,-1.9690533333333362,9.676193048573706,-11.645246381907043,1,True,1.0
2025-07-18,300750.SZ,-10.902400000000057,-1.8686291666666694,9.655211612296117,-11.523840778962787,1,True,1.0
2025-07-21,300750.SZ,-16.181600000000003,-1.97410166666667,9.684388679786334,-11.658490346453004,0,False,0.0
2025-07-22,300750.SZ,-13.388899999999921,-2.1333650000000035,9.759915331743322,-11.893280331743325,0,False,0.0
2025-07-23,300750.SZ,0.6886000000000649,-2.026902500000003,9.56327623968629,-11.590178739686294,1,True,1.0
2025-07-24,300750.SZ,3.481100000000083,-2.0003250000000024,9.566379655595947,-11.566704655595949,1,True,1.0
2025-07-25,300750.SZ,-4.590499999999906,-2.0674266666666683,9.498653351894205,-11.566080018560873,1,True,1.0
2025-07-28,300750.SZ,-6.694499999999948,-2.0979050000000004,9.50085054796489,-11.59875554796489,1,True,1.0
2025-07-29,300750.SZ,10.558099999999968,-2.0857175,9.493948273334443,-11.579665773334442,1,True,1.0
2025-07-30,300750.SZ,28.174199999999928,-1.941165,9.55361550306717,-11.49478050306717,1,True,1.0
2025-07-31,300750.SZ,23.851500000000044,-1.7826366666666673,9.891089490635169,-11.673726157301836,1,True,1.0
2025-08-01,300750.SZ,-2.9646999999999935,-1.5685600000000004,10.164120028488083,-11.732680028488083,1,True,1.0
2025-08-04,300750.SZ,6.52230000000003,-1.4654416666666668,10.085709132012495,-11.551150798679162,1,True,1.0
2025-08-05,300750.SZ,-1.4919000000000437,-1.3668666666666662,10.105637258001503,-11.47250392466817,1,True,1.0
2025-08-06,300750.SZ,-1.338899999999967,-1.483215833333333,10.025042979098515,-11.508258812431848,1,True,1.0
